goos: darwin
goarch: arm64
pkg: lab4/concurrentmap
cpu: Apple M2 Pro
BenchmarkGrowthPlainGet/N1048576-12           	 4497336	        51.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N1048576-12           	 4551765	        56.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthPlainGet/N1048576-12           	 4457514	        68.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkGrowthConcurrentPut/N1024-12         	 1000000	       321.8 ns/op	     306 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1024-12         	 1000000	       338.0 ns/op	     306 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1024-12         	 1000000	       254.4 ns/op	     306 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1024-12         	 1000000	       267.0 ns/op	     306 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1024-12         	 1000000	       290.0 ns/op	     306 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N4096-12         	 1000000	       268.8 ns/op	     308 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N4096-12         	 1000000	       268.1 ns/op	     308 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N4096-12         	 1000000	       269.3 ns/op	     308 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N4096-12         	 1000000	       266.9 ns/op	     308 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N4096-12         	 1000000	       288.3 ns/op	     308 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N16384-12        	  828764	       264.6 ns/op	     266 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N16384-12        	 1080141	       221.9 ns/op	     185 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N16384-12        	  984412	       267.0 ns/op	     310 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N16384-12        	 1122529	       232.6 ns/op	     191 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N16384-12        	  816892	       246.5 ns/op	     263 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N65536-12        	 1208439	       266.8 ns/op	     217 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N65536-12        	 1218160	       254.2 ns/op	     219 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N65536-12        	  935778	       269.7 ns/op	     323 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N65536-12        	 1183959	       251.4 ns/op	     214 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N65536-12        	 1038361	       207.4 ns/op	     192 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N262144-12       	  754292	       330.0 ns/op	     380 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N262144-12       	 1052430	       260.3 ns/op	     250 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N262144-12       	  807048	       281.3 ns/op	     213 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N262144-12       	  903734	       264.5 ns/op	     227 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N262144-12       	 1019638	       263.4 ns/op	     245 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1048576-12      	  899340	       367.9 ns/op	     450 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1048576-12      	  915598	       413.5 ns/op	     452 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1048576-12      	  776178	       373.0 ns/op	     428 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1048576-12      	  796720	       409.9 ns/op	     431 B/op	       2 allocs/op
BenchmarkGrowthConcurrentPut/N1048576-12      	  900465	       390.4 ns/op	     450 B/op	       2 allocs/op
BenchmarkGrowthPlainPut/N1024-12              	 2462755	       129.6 ns/op	      56 B/op	       0 allocs/op
